date,number_visits
01/04/2022,1078046
02/04/2022,845353
03/04/2022,835836
04/04/2022,1325665
05/04/2022,1168638
06/04/2022,1199378
07/04/2022,1092032
08/04/2022,1013038
09/04/2022,774700
10/04/2022,759724
11/04/2022,1114733
12/04/2022,1085016
13/04/2022,1063852
14/04/2022,1014331
15/04/2022,848451
16/04/2022,713765
17/04/2022,695979
18/04/2022,976097
19/04/2022,1108072
20/04/2022,1062755
21/04/2022,1164708
22/04/2022,1074574
23/04/2022,780899
24/04/2022,860592
25/04/2022,1178155
26/04/2022,1220631
27/04/2022,1204627
28/04/2022,1133138
29/04/2022,1125801
30/04/2022,891683
01/05/2022,797279
02/05/2022,997575
03/05/2022,1067154
04/05/2022,1053861
05/05/2022,1147224
06/05/2022,959937
07/05/2022,761099
08/05/2022,756835
09/05/2022,1169173
10/05/2022,1138013
11/05/2022,1083156
12/05/2022,1113683
13/05/2022,1133870
14/05/2022,900736
15/05/2022,788550
16/05/2022,1278473
17/05/2022,1090801
18/05/2022,1127499
19/05/2022,1100186
20/05/2022,1018170
21/05/2022,726711
22/05/2022,734659
23/05/2022,1140766
24/05/2022,1140827
25/05/2022,1055330
26/05/2022,1126541
27/05/2022,1029021
28/05/2022,779301
29/05/2022,747391
30/05/2022,1110003
31/05/2022,1173524
01/06/2022,1089100
02/06/2022,1027544
03/06/2022,840299
04/06/2022,682021
05/06/2022,693975
06/06/2022,1106345
07/06/2022,1132142
08/06/2022,1061096
09/06/2022,1062357
10/06/2022,1017834
11/06/2022,740626
12/06/2022,727583
13/06/2022,1213580
14/06/2022,1079844
15/06/2022,1095658
16/06/2022,1157425
17/06/2022,1127745
18/06/2022,789437
19/06/2022,768153
20/06/2022,1108006
21/06/2022,1060551
22/06/2022,1054145
23/06/2022,1035078
24/06/2022,1071952
25/06/2022,754805
26/06/2022,751606
27/06/2022,1056046
28/06/2022,1047223
29/06/2022,1163238
30/06/2022,1067310
01/07/2022,901690
02/07/2022,759353
03/07/2022,774703
04/07/2022,985836
05/07/2022,1222371
06/07/2022,1151739
07/07/2022,1141262
08/07/2022,1056850
09/07/2022,737573
10/07/2022,717317
11/07/2022,1032664
12/07/2022,1008531
13/07/2022,1245134
14/07/2022,1298783
15/07/2022,1243170
16/07/2022,790769
17/07/2022,808406
18/07/2022,1202682
19/07/2022,1138672
20/07/2022,1083562
21/07/2022,1133867
22/07/2022,1040458
23/07/2022,851412
24/07/2022,735752
25/07/2022,1006841
26/07/2022,1000388
27/07/2022,988008
28/07/2022,981441
29/07/2022,959466
30/07/2022,666838
31/07/2022,629140
01/08/2022,997569
02/08/2022,1057042
03/08/2022,977291
04/08/2022,1014880
05/08/2022,943402
06/08/2022,717940
07/08/2022,667830
08/08/2022,967644
09/08/2022,969766
10/08/2022,968682
11/08/2022,885756
12/08/2022,955756
13/08/2022,758426
14/08/2022,727981
15/08/2022,957286
16/08/2022,1040558
17/08/2022,1033220
18/08/2022,1205749
19/08/2022,844230
20/08/2022,745828
21/08/2022,741686
22/08/2022,1168468
23/08/2022,1050093
24/08/2022,990908
25/08/2022,992981
26/08/2022,971896
27/08/2022,717719
28/08/2022,804568
29/08/2022,1097177
30/08/2022,1162666
31/08/2022,1331145
01/09/2022,1195636
02/09/2022,1170803
03/09/2022,868474
04/09/2022,766159
05/09/2022,1359576
06/09/2022,1258018
07/09/2022,1124885
08/09/2022,1419154
09/09/2022,1285316
10/09/2022,1024862
11/09/2022,948762
12/09/2022,1332390
13/09/2022,1252407
14/09/2022,1150367
15/09/2022,1243147
16/09/2022,1196834
17/09/2022,961833
18/09/2022,831063
19/09/2022,1069012
20/09/2022,1184255
21/09/2022,1258292
22/09/2022,1122207
23/09/2022,1292282
24/09/2022,881374
25/09/2022,855564
26/09/2022,1364048
27/09/2022,1346817
28/09/2022,1523151
29/09/2022,1454838
30/09/2022,1352733
01/10/2022,946672
02/10/2022,1026987
03/10/2022,1471678
04/10/2022,1345923
05/10/2022,1237337
06/10/2022,1173707
07/10/2022,1273376
08/10/2022,1005637
09/10/2022,843073
10/10/2022,1218696
11/10/2022,1339008
12/10/2022,1136712
13/10/2022,1251571
14/10/2022,1420275
15/10/2022,870042
16/10/2022,774887
17/10/2022,1302557
18/10/2022,1298162
19/10/2022,1291031
